Site,Depth ,Turnover_q0,Turnover_LCL_q0,Turnover_UCL_q0,Beta_q0,Beta_LCL_q0,Beta_UCL_q0,Turnover_q2,Turnover_LCL_q2,Turnover_UCL_q2,Beta_q2,Beta_LCL_q2,Beta_UCL_q2
Coral View,5_15,0.2256,0.0988,0.3524,1.2256,1.0988,1.3524,0.301,0.2667,0.3353,1.301,1.2667,1.3353
Little Bight,5_15,0.2368,0.1314,0.3422,1.2368,1.1314,1.3422,0.0798,0.0589,0.1007,1.0798,1.0589,1.1007
Raggedy Cay,5_15,0.1785,0.0277,0.3292,1.1785,1.0277,1.3292,0.251,0.236,0.266,1.251,1.236,1.266
Rocky Point,5_15,0.2943,0.0448,0.5437,1.2943,1.0448,1.5437,0.0604,0.0496,0.0713,1.0604,1.0496,1.0713
The Maze,5_15,0.1532,0.0746,0.2318,1.1532,1.0746,1.2318,0.0266,0.0204,0.0328,1.0266,1.0204,1.0328
Coral View,25_40,0.8336,0.7216,0.9455,1.7147,1.596,1.8333,0.4276,0.3623,0.493,1.4276,1.3623,1.493
Little Bight,25_40,0.2586,0.0396,0.4777,1.2586,1.0396,1.4777,0.6217,0.5792,0.6642,1.6217,1.5792,1.6642
Raggedy Cay,25_40,0.5469,0.3703,0.7235,1.5469,1.3703,1.7235,0.156,0.1254,0.1865,1.156,1.1254,1.1865
Rocky Point,25_40,0.2588,-0.0584,0.576,1.2588,0.9416,1.576,0.6275,0.5767,0.6783,1.6275,1.5767,1.6783
The Maze,25_40,0.1516,-0.1864,0.4896,1.1516,0.8136,1.4896,0.0837,0.0625,0.1048,1.0837,1.0625,1.1048
